index,key,time_ns,steps
1314,722859,2458,37
1315,622657,1167,22
1316,492739,2333,34
1317,305408,1916,36
1318,34226,1125,20
1319,242721,1042,21
1320,302100,1042,17
1321,741297,1125,18
1322,296452,1333,28
1323,737136,1084,19
1324,901363,1042,16
1325,476087,1291,23
1326,74638,1375,29
1327,720776,1125,23
1328,244763,1291,21
1329,968791,1125,20
1330,277406,1375,25
1331,826098,1416,28
1332,829684,3417,35
1333,655421,1375,24
1334,618440,2084,36
1335,693301,1291,24
1336,842957,1084,18
1337,979023,2292,41
1338,207429,1250,21
1339,445791,1292,25
1340,120352,2166,34
1341,571016,2000,34
1342,235730,1208,19
1343,679095,1125,18
1344,156227,1334,20
1345,952539,1416,26
1346,278536,2000,30
1347,866786,1208,23
1348,149146,1292,21
1349,74879,1333,28
1350,62536,1125,21
1351,173983,1125,25
1352,831132,1167,23
1353,322555,2375,37
1354,623949,1125,19
1355,785340,1167,20
1356,864279,1042,19
1357,596857,1375,29
1358,965941,3084,46
1359,302631,2083,31
1360,460486,1208,16
1361,130395,1250,20
1362,491466,1208,22
1363,722132,1209,24
1364,318863,3208,42
1365,733724,1375,24
1366,422061,1250,22
1367,988468,1292,22
1368,285471,1250,24
1369,524784,1125,23
1370,566212,1417,25
1371,517782,2250,40
1372,459024,2083,34
1373,84350,2042,39
1374,627087,1333,27
1375,41798,1958,38
1376,932628,1917,31
1377,453015,1083,20
1378,770215,1250,20
1379,337979,1459,29
1380,633040,1083,21
1381,262530,2500,38
1382,27122,1500,27
1383,95764,1125,22
1384,240045,1167,19
1385,707054,1209,22
1386,876567,1375,28
1387,902318,1334,23
1388,603140,2083,39
1389,615644,1084,22
1390,996972,1125,16
1391,21754,2042,33
1392,801910,1541,25
1393,704939,1250,29
1394,861323,2209,42
